Product Name,Vintage,Price,Bottle Size,Product Link,Product ID,Bottle Quantity
19 CRIMES CALI ROSE 750ML,nv,13.99,750ml,https://shop.oceanwineandspirits.com/product/012354005006,12354005006,
ALBERT BICHOT CHASSAGNE MONTRACHET BLANC 750ML,nv,159.99,750ml,https://shop.oceanwineandspirits.com/product/210000000043,2.1E+11,
ACE OF SPADES BRUT W/ WOODEN GIFT BOX,nv,299.99,750ml,https://shop.oceanwineandspirits.com/product/210000000047,2.1E+11,
AGUSTI TORELLO MATA CAVA RESERVA 750ML,nv,22.99,750ml,https://shop.oceanwineandspirits.com/product/210000000052,2.1E+11,
ALONSO YERRO PAYDOS 2016 750ML,2016,44.99,750ml,https://shop.oceanwineandspirits.com/product/210000000057,2.1E+11,
TWO SQUARED ALPHA OMEGA NAPA RED 750ML,nv,49.99,750ml,https://shop.oceanwineandspirits.com/product/892283001481,8.92283E+11,
Aresti Trisquel,nv,0,750ml,https://shop.oceanwineandspirits.com/product/210000000069,2.1E+11,
ARGENTIERA VILLA DONORATICO BOLGHERI ROSSO,nv,29.97,750ml,https://shop.oceanwineandspirits.com/product/210000000070,2.1E+11,
ARNALDO CAPRAI 2016 MONTEFALCO ROSSO 750ML,2016,22.98,750ml,https://shop.oceanwineandspirits.com/product/210000000071,2.1E+11,
ARTADI VINAS DE GAIN 2019 750ML,2019,26.99,750ml,https://shop.oceanwineandspirits.com/product/210000000074,2.1E+11,
ARTAZU 2016 TINTO 750ML,2016,19.98,750ml,https://shop.oceanwineandspirits.com/product/210000000075,2.1E+11,
AUVIGUE POUILLY-FUISSE,nv,39.97,750ml,https://shop.oceanwineandspirits.com/product/210000000078,2.1E+11,
B LEIGHTON 750ML,nv,29.98,750ml,https://shop.oceanwineandspirits.com/product/210000000080,2.1E+11,
BACCHUS PINOT NOIR,nv,13.97,750ml,https://shop.oceanwineandspirits.com/product/210000000088,2.1E+11,
BANFI ASKA 2020 BOLGHERI ROSSO 750ML,2020,34.99,750ml,https://shop.oceanwineandspirits.com/product/210000000093,2.1E+11,
BARON DE LEY FINCA MONASTERIO RIOJA,nv,19.99,750ml,https://shop.oceanwineandspirits.com/product/210000000097,2.1E+11,
B&G BORDEAUX RG CUVEE RAMBAUD 750ML,nv,11.99,750ml,https://shop.oceanwineandspirits.com/product/210000000106,2.1E+11,
BISOL JEIO PROSECCO DOC 750ML,nv,14.99,750ml,https://shop.oceanwineandspirits.com/product/210000000109,2.1E+11,
BIUTIFUL CAVA ROSE 750ML,nv,15.99,750ml,https://shop.oceanwineandspirits.com/product/210000000110,2.1E+11,
BLACK BOX RED SANGRIA 3L,nv,19.99,3L,https://shop.oceanwineandspirits.com/product/210000000112,2.1E+11,
BODVAR No 8 ROSE 750ML,nv,19.99,750ml,https://shop.oceanwineandspirits.com/product/210000000119,2.1E+11,
BOEKENHOUTSKLOOF CHOCOLATE BLOCK 750ML,nv,30.99,750ml,https://shop.oceanwineandspirits.com/product/210000000120,2.1E+11,
BOGLE CHARDONNAY 2020 750ML,2020,9.98,750ml,https://shop.oceanwineandspirits.com/product/210000000121,2.1E+11,
BRADY VDY CABERNET SAUVIGNON 750ML,nv,21.99,750ml,https://shop.oceanwineandspirits.com/product/210000000126,2.1E+11,
BUENA VISTA CHARDONNAY CARNEROS 750ML,nv,19.98,750ml,https://shop.oceanwineandspirits.com/product/081188207504,81188207504,
CHATEAU BUENA VISTA PINOT NOIR 750ML,nv,39.99,750ml,https://shop.oceanwineandspirits.com/product/081188207511,81188207511,
BY OTT ROSE 1.5L,nv,59.99,1.5L,https://shop.oceanwineandspirits.com/product/734599240041,7.34599E+11,
CONCHA Y TORO MARQUES DE CASA 2020 CONCHA CARMENERE 750ML,2020,22.98,750ml,https://shop.oceanwineandspirits.com/product/082734365273,82734365273,
CONCHO Y TORO CASIL DIABLO CABERNET SAUVIGNON 750ML,nv,9.99,750ml,https://shop.oceanwineandspirits.com/product/082734001096,82734001096,
CH HAUT-COLOMBIER COTES DE BORDEAUX 750ML,nv,16.99,750ml,https://shop.oceanwineandspirits.com/product/873964000412,8.73964E+11,
CH ST MICH SAUV BLANC,nv,9.97,750ml,https://shop.oceanwineandspirits.com/product/088586630989,88586630989,
CHANDON BRUT  187ML,nv,9.99,187ml,https://shop.oceanwineandspirits.com/product/085155001010,85155001010,
CHANDON BRUT SPARKLING WINE CALI,nv,17.99,750ml,https://shop.oceanwineandspirits.com/product/85155002017,85155002017,
Cecchi Chianti,nv,18.99,750ml,https://shop.oceanwineandspirits.com/product/086891083872,86891083872,
CHIARLO BARBERA 2018 D'ASTI LE ORME 750ML,2018,15.99,750ml,https://shop.oceanwineandspirits.com/product/084692441341,84692441341,
CHIARLO BAROLO TORTONIANO 2019 750ML,2019,59.99,750ml,https://shop.oceanwineandspirits.com/product/084692441501,84692441501,
CONCHA Y TORO GRAN RESERVA 2019 PRESERVING WATERSHEDS CABERNET SAUVIGNON  750ML,2019,16.99,750ml,https://shop.oceanwineandspirits.com/product/082734413837,82734413837,
COPA WHITE ZINFANDEL,nv,3.49,750ml,https://shop.oceanwineandspirits.com/product/890128001276,8.90128E+11,
COPPOLA CABERNET SAUVIGNON PASO ROBLES 750ML,nv,17.98,750ml,https://shop.oceanwineandspirits.com/product/739958194805,7.39958E+11,
COPPOLA PINOT NOIR S BERBARA 750ML,nv,17.98,750ml,https://shop.oceanwineandspirits.com/product/739958174524,7.39958E+11,
CORREGGIA NEBBIOLO ROERO 2019 750ML,2019,21.99,750ml,https://shop.oceanwineandspirits.com/product/8032532312698,8.03253E+12,
CORVO MOSCATO,nv,10.99,750ml,https://shop.oceanwineandspirits.com/product/891006000657,8.91006E+11,
CRITERION CENTRAL OTAGO PINOT NOIR 750ML,nv,19.98,750ml,https://shop.oceanwineandspirits.com/product/839728009039,8.39728E+11,
CROFT TAWNY PORTO,nv,19.99,750ml,https://shop.oceanwineandspirits.com/product/084692616879,84692616879,
DASSAI JUNMAI DAIGINJO SAKE 720ML,nv,89.99,750ml,https://shop.oceanwineandspirits.com/product/072546088002,72546088002,
DUMOL PINOT NOIR WESTERN RANCH,nv,79.99,750ml,https://shop.oceanwineandspirits.com/product/814460010499,8.1446E+11,
COTTANERA ETNA ROSSO 2019 750ML,2019,29.97,750ml,https://shop.oceanwineandspirits.com/product/8032568960115,8.03257E+12,
FAUST CABERNET SAUVIGNON 3L CS,nv,299.99,3L,https://shop.oceanwineandspirits.com/product/10160,10160,
FAUST THE PACT CABERNET SAUVIGNON 750ML,nv,124.99,750ml,https://shop.oceanwineandspirits.com/product/859369001155,8.59369E+11,
FERRARI CARANO SIENA 750ML,nv,21.99,750ml,https://shop.oceanwineandspirits.com/product/742651184295,7.42651E+11,
FONTODI CHIANTI CLASSICO 2019 750ML,2019,49.98,750ml,https://shop.oceanwineandspirits.com/product/607531182474,6.07531E+11,
FONTODI FLACCIANELLO 2015 750ML CS,2015,199.98,750ml,https://shop.oceanwineandspirits.com/product/607531462330,6.07531E+11,
FROGS LEAP CABERNET SAUVIGNON 750ML,nv,69.98,750ml,https://shop.oceanwineandspirits.com/product/715962082130,7.15962E+11,
GARY FARRELL CHARDONNAY RUSSIAN RIVER VALLEY 750ML,nv,34.99,750ml,https://shop.oceanwineandspirits.com/product/837434000050,8.37434E+11,
GIRARDIN BOURGOGNE BLANC CUVEE VINCENT,nv,23.99,750ml,https://shop.oceanwineandspirits.com/product/089419713978,89419713978,
GNARLY HEAD ZINFANDEL 750ML,nv,9.99,750ml,https://shop.oceanwineandspirits.com/product/082242294935,82242294935,
HAHN SLH PINOT NOIR 750ML,nv,23.99,750ml,https://shop.oceanwineandspirits.com/product/086788018871,86788018871,
HDV CHARDONNAY CARNEROS,nv,79.99,750ml,https://shop.oceanwineandspirits.com/product/10133,10133,
HESS COLLECTION MT VEEDER CABERNET SAUVIGNON 750ML,nv,79.98,750ml,https://shop.oceanwineandspirits.com/product/717888110225,7.17888E+11,
HIDALGO MANZANILLA LA GITANA 750ML,nv,19.97,750ml,https://shop.oceanwineandspirits.com/product/8411705100117,8.41171E+12,
