SKU,Item Name,Store,Total Units Sold (full window),"Units Sold (last 90 days, this store)",Avg Daily Units (this store),Gappy Sales Pattern,Spiky Sales Pattern,Suggested Par Level
2100000080953,RED SINGLE SOLO CUP,(Bayview/Coral Ridge) Ocean Wine & Spirits ,252.0,22.0,0.244,,,3
2100000080953,RED SINGLE SOLO CUP,(FTL Beach/A1A) Ocean Wine & Spirits ,252.0,41.0,0.456,,,5
2100000080953,RED SINGLE SOLO CUP,(Las Olas) Ocean Wine & Spirits ,252.0,74.0,0.822,,,8
2100000080953,RED SINGLE SOLO CUP,Beach Liquors & Cigars ,252.0,115.0,1.278,,,12
2100000080953,RED SINGLE SOLO CUP,Warehouse,252.0,0,0.0,,,0
070330604599,BIC LIGHTER,(Bayview/Coral Ridge) Ocean Wine & Spirits ,132.0,0,0.0,,,0
070330604599,BIC LIGHTER,(FTL Beach/A1A) Ocean Wine & Spirits ,132.0,18.0,0.2,,,2
070330604599,BIC LIGHTER,(Las Olas) Ocean Wine & Spirits ,132.0,32.0,0.356,,,4
070330604599,BIC LIGHTER,Beach Liquors & Cigars ,132.0,82.0,0.911,,,9
070330604599,BIC LIGHTER,Warehouse,132.0,0,0.0,,,0
210000012101,HEETS RED FOR IQOS,(Bayview/Coral Ridge) Ocean Wine & Spirits ,123.0,4.0,0.044,,,1
210000012101,HEETS RED FOR IQOS,(FTL Beach/A1A) Ocean Wine & Spirits ,123.0,0,0.0,,,0
210000012101,HEETS RED FOR IQOS,(Las Olas) Ocean Wine & Spirits ,123.0,119.0,1.322,,,12
210000012101,HEETS RED FOR IQOS,Beach Liquors & Cigars ,123.0,0,0.0,,,0
210000012101,HEETS RED FOR IQOS,Warehouse,123.0,0,0.0,,,0
210000011041,ZEPHYRHILLS 500ML (16.9 OUNCE) SINGLE,(Bayview/Coral Ridge) Ocean Wine & Spirits ,110.0,0,0.0,,,0
210000011041,ZEPHYRHILLS 500ML (16.9 OUNCE) SINGLE,(FTL Beach/A1A) Ocean Wine & Spirits ,110.0,20.0,0.222,,,2
210000011041,ZEPHYRHILLS 500ML (16.9 OUNCE) SINGLE,(Las Olas) Ocean Wine & Spirits ,110.0,32.0,0.356,,,4
210000011041,ZEPHYRHILLS 500ML (16.9 OUNCE) SINGLE,Beach Liquors & Cigars ,110.0,58.0,0.644,,,6
210000011041,ZEPHYRHILLS 500ML (16.9 OUNCE) SINGLE,Warehouse,110.0,0,0.0,,,0
210000012103,HEETS IQOS AMBER,(Bayview/Coral Ridge) Ocean Wine & Spirits ,103.0,9.0,0.1,,,1
210000012103,HEETS IQOS AMBER,(FTL Beach/A1A) Ocean Wine & Spirits ,103.0,0,0.0,,,0
210000012103,HEETS IQOS AMBER,(Las Olas) Ocean Wine & Spirits ,103.0,94.0,1.044,,,10
210000012103,HEETS IQOS AMBER,Beach Liquors & Cigars ,103.0,0,0.0,,,0
210000012103,HEETS IQOS AMBER,Warehouse,103.0,0,0.0,,,0
619947000068,TITOS HANDMADE VODKA 80 50ML,(Bayview/Coral Ridge) Ocean Wine & Spirits ,84.0,4.0,0.044,,,1
619947000068,TITOS HANDMADE VODKA 80 50ML,(FTL Beach/A1A) Ocean Wine & Spirits ,84.0,8.0,0.089,,,1
619947000068,TITOS HANDMADE VODKA 80 50ML,(Las Olas) Ocean Wine & Spirits ,84.0,44.0,0.489,,,5
619947000068,TITOS HANDMADE VODKA 80 50ML,Beach Liquors & Cigars ,84.0,28.0,0.311,,,3
619947000068,TITOS HANDMADE VODKA 80 50ML,Warehouse,84.0,0,0.0,,,0
793573105820,NATUZZI ICE BAG 10 LB,(Bayview/Coral Ridge) Ocean Wine & Spirits ,82.0,9.0,0.1,,,1
793573105820,NATUZZI ICE BAG 10 LB,(FTL Beach/A1A) Ocean Wine & Spirits ,82.0,11.0,0.122,,,2
793573105820,NATUZZI ICE BAG 10 LB,(Las Olas) Ocean Wine & Spirits ,82.0,45.0,0.5,,,5
793573105820,NATUZZI ICE BAG 10 LB,Beach Liquors & Cigars ,82.0,17.0,0.189,,,2
793573105820,NATUZZI ICE BAG 10 LB,Warehouse,82.0,0,0.0,,,0
04904403,COCA COLA 20OZ,(Bayview/Coral Ridge) Ocean Wine & Spirits ,75.0,0,0.0,,,0
04904403,COCA COLA 20OZ,(FTL Beach/A1A) Ocean Wine & Spirits ,75.0,36.0,0.4,,,4
04904403,COCA COLA 20OZ,(Las Olas) Ocean Wine & Spirits ,75.0,22.0,0.244,,,3
04904403,COCA COLA 20OZ,Beach Liquors & Cigars ,75.0,17.0,0.189,,,2
04904403,COCA COLA 20OZ,Warehouse,75.0,0,0.0,,,0
73430005006,Zephyrhills 1.5L,(Bayview/Coral Ridge) Ocean Wine & Spirits ,74.0,0,0.0,,,0
73430005006,Zephyrhills 1.5L,(FTL Beach/A1A) Ocean Wine & Spirits ,74.0,14.0,0.156,,,2
73430005006,Zephyrhills 1.5L,(Las Olas) Ocean Wine & Spirits ,74.0,8.0,0.089,,,1
73430005006,Zephyrhills 1.5L,Beach Liquors & Cigars ,74.0,52.0,0.578,,,6
73430005006,Zephyrhills 1.5L,Warehouse,74.0,0,0.0,,,0
088004144708,FIREBALL 50ML,(Bayview/Coral Ridge) Ocean Wine & Spirits ,71.0,1.0,0.011,,,1
088004144708,FIREBALL 50ML,(FTL Beach/A1A) Ocean Wine & Spirits ,71.0,13.0,0.144,,,2
088004144708,FIREBALL 50ML,(Las Olas) Ocean Wine & Spirits ,71.0,29.0,0.322,,,3
088004144708,FIREBALL 50ML,Beach Liquors & Cigars ,71.0,28.0,0.311,,,3
088004144708,FIREBALL 50ML,Warehouse,71.0,0,0.0,,,0
786162001511,SMART WATER SPORTS CAP 700ML,(Bayview/Coral Ridge) Ocean Wine & Spirits ,66.0,4.0,0.044,,,1
786162001511,SMART WATER SPORTS CAP 700ML,(FTL Beach/A1A) Ocean Wine & Spirits ,66.0,20.0,0.222,,,2
786162001511,SMART WATER SPORTS CAP 700ML,(Las Olas) Ocean Wine & Spirits ,66.0,8.0,0.089,,,1
786162001511,SMART WATER SPORTS CAP 700ML,Beach Liquors & Cigars ,66.0,34.0,0.378,,,4
786162001511,SMART WATER SPORTS CAP 700ML,Warehouse,66.0,0,0.0,,,0
02838423,MARLBORO GOLD CIGARETTE BOX,(Bayview/Coral Ridge) Ocean Wine & Spirits ,59.0,0,0.0,,,0
02838423,MARLBORO GOLD CIGARETTE BOX,(FTL Beach/A1A) Ocean Wine & Spirits ,59.0,11.0,0.122,,,2
02838423,MARLBORO GOLD CIGARETTE BOX,(Las Olas) Ocean Wine & Spirits ,59.0,26.0,0.289,,,3
02838423,MARLBORO GOLD CIGARETTE BOX,Beach Liquors & Cigars ,59.0,22.0,0.244,,,3
02838423,MARLBORO GOLD CIGARETTE BOX,Warehouse,59.0,0,0.0,,,0
